feature,attention_neuron_1,attention_neuron_2,attention_neuron_3,attention_neuron_4,attention_neuron_5,attention_neuron_6,attention_neuron_7,attention_neuron_8,attention_neuron_9,attention_neuron_10,attention_neuron_11,attention_neuron_12,attention_neuron_13,attention_neuron_14,attention_neuron_15,attention_neuron_16
input_len_bytes,0.1889353287655217,0.11970099063263986,0.2394031970351659,0.19186638687087132,0.46875095701126007,0.019713484904410994,0.09762393120272649,0.17507940910323397,0.08406005575658532,0.1633899723876536,0.03196218902679314,0.49423705171205323,0.06673246848516308,0.09618824118630218,0.12086212347726738,0.26974302392084254
is_error,0.3091626389807206,0.6795340833446181,0.04338320659991985,0.04467397934572573,0.034426867500266536,0.016740027383537175,0.07358997528929678,0.03920583092742046,0.7686828882232039,0.4949475483412112,0.00648775598350567,0.05927277862083025,0.13003926327459878,0.07436852897450665,0.02734873274053939,0.007267005452268139
nonce,0.055725737538930314,0.11933165742450139,0.13707941258889653,0.06484706114902633,0.0799207197682294,0.42307820673733937,0.5320687199819095,0.03194482114964104,0.03543558167742225,0.3581621892955288,0.05173366628247393,0.04543460319733765,0.03909053672739806,0.08158739924445582,0.4454245449619464,0.07385869131892331
is_first_tx,0.029135901566106657,0.3218734478314199,0.08909829562592135,0.04066137738192337,0.04337691983415213,0.07912584716230628,0.13894052443499438,0.012519338563012815,0.3249233031608637,0.0488882959558617,0.1659105919884996,0.08281373250247143,0.4265575337175379,0.160139328955924,0.16419009923800085,0.15481037248137733
is_self_tx,0.4920734808021635,0.008742432270595615,0.6197431227535123,0.24204039442909944,0.0053540186822180775,0.006628021343319455,0.010262702440946231,0.023590759615935798,0.007737718578213952,0.42527235430486443,0.2968687712398629,0.0022753108723478368,0.002157598298792345,0.005720062069841516,0.0044386397948145105,0.3994624965602701
sender_tx_count,0.09756388525812673,0.12582892008352972,0.06040353486687075,0.16640832577294168,0.05675771734229511,0.3112985975457227,0.4524637041025797,0.06133287336756408,0.16327446627956763,0.17778854622859713,0.06201460856320434,0.10227699281311448,0.11243420831174718,0.0675440594856154,0.2980948941412097,0.13265928622304682
sender_avg_value_eth,0.1256577177964492,0.49376020541693394,0.020791520670241714,0.17771333444703355,0.01076685791061959,0.019342083841893905,0.047187618655918494,0.6282949163260122,0.04656769798792222,0.36125820169531736,0.23329182004253746,0.04510142016298048,0.6003604050494495,0.09731855814173618,0.05137554136877448,0.3148310797035731
sender_error_rate,0.3909926997612429,0.3541419173160812,0.0030093644242765254,0.06363404676893654,0.017580342467709766,0.013909457211188454,0.04635340979771378,0.05525981607298893,0.347935773071731,0.24402568414298534,0.007330969706254807,0.3992675654884077,0.03475998107037918,0.04052037131328152,0.0688143617651682,0.0141310172348745
sender_avg_gas_eff,0.009559786129953578,0.16027770926899373,0.0007516108335923502,0.1925799362520369,0.16140939908159482,0.31720199653103165,0.33007421481763,0.2837382370926261,0.009619361135515292,0.08295923466472697,0.09309393227645722,0.14231952056900476,0.2529051810949755,0.21375250964358192,0.37854003678031456,0.14355391917410681
sender_unique_to,0.09486407110729485,0.041649562282890525,0.146374302560556,0.6408148707437561,0.06226694320213286,0.17747464400950375,0.5150666867486072,0.5423872573889168,0.15549181291467426,0.27218249629342606,0.011702267294659426,0.1620136229521389,0.06720391495413272,0.43370499822267006,0.050359331873392185,0.08959427500807224
method_id_frequency,0.07217373957313618,0.190404905927918,0.22172432303345177,0.280705224521233,0.1740744762168547,0.08238123483463153,0.22408099654080452,0.3106723877248981,0.03295631904985081,0.2894325050711567,0.0019371611313381174,0.3281164738864395,0.10862063918748542,0.12020858694456406,0.017717247934214288,0.06070899162426006
