hash,label,value_eth,is_zero_value,gas_price_gwei,gas_used,gas_limit,gas_efficiency,hour_sin,hour_cos,is_weekend,is_contract_call,input_len_bytes,is_error,nonce,is_first_tx,is_self_tx,sender_tx_count,sender_avg_value_eth,sender_error_rate,sender_avg_gas_eff,sender_unique_to,method_id_frequency
0x33d676dc963e48a95e071fb82392ce201f30f03a6fc59a7ab11f9575e6bd19eb,0,-0.033172852131686664,-1.4495041220981655,0.292278998129071,-0.6306704534913524,-0.6288544585483801,1.5400539842935874,-1.4463142969586298,0.8397359147649028,2.9856801091687157,-1.956495352876982,-0.340564886040554,-0.13083603390805165,-0.4778619105578033,-0.24387965029906675,-0.019884180552221426,-0.8703919727486479,-0.09634406901777559,-0.1727673442564212,0.6396342352411789,-0.5242640983424037,0.9035078756912958
0xbb1ba10aac0697027a195429c5ce6d45437a4f635952ea557d3cdd8016fe66c6,0,-0.03317250107861507,-1.4495041220981655,-0.15709917168238102,-0.6306704534913524,-0.6288544585483801,1.5400539842935874,1.2751239594904975,0.5064596566552425,-0.3349320635285418,-1.956495352876982,-0.340564886040554,-0.13083603390805165,0.77845476613223,-0.24387965029906675,-0.019884180552221426,0.5804911119668984,-0.06472009534056021,-0.1727673442564212,1.5920588554285258,2.31466594098524,0.9035078756912958
0xa3291a3a5c4bed769d33c45895b1c434471a2603976ec2bda444526bdeb0072c,0,-0.03316327056212838,-1.4495041220981655,-0.139020782912154,-0.6306704534913524,-0.6288544585483801,1.5400539842935874,-0.5442844901881534,-1.1859558495769698,2.9856801091687157,-1.956495352876982,-0.340564886040554,-0.13083603390805165,-0.47786287130953714,4.1003831142684986,-0.019884180552221426,-0.8703919727486479,-0.09634406901777559,-0.1727673442564212,0.6396342352411789,-0.5242640983424037,0.9035078756912958
0x1f222e117f95c66db0fb4a7650adcf2fa13544fe0d2ba2d0ff4882eaa8e03370,0,-0.03317060986736617,-1.4495041220981655,-0.03038390105662228,-0.6306704534913524,-0.6288544585483801,1.5400539842935874,-1.4463142969586298,0.8397359147649028,-0.3349320635285418,-1.956495352876982,-0.340564886040554,-0.13083603390805165,-0.21671589858470455,-0.24387965029906675,-0.019884180552221426,0.9770730455037842,-0.09613473481803853,-0.1727673442564212,1.6188069913064087,4.090012085693472,0.9035078756912958
0x32e26f8b327cb60cdfbb2bcc1c903c209857ea61d187bc30ace4878ec76d348c,0,-0.03317281540348168,-1.4495041220981655,1.232112615191723,-0.630357757775361,-0.601639073251975,0.40462966021625063,1.2751239594904975,0.5064596566552425,-0.3349320635285418,-1.956495352876982,-0.340564886040554,-0.13083603390805165,-0.4777226015563948,-0.24387965029906675,-0.019884180552221426,-0.8703919727486479,-0.09634406901777559,-0.1727673442564212,0.6396342352411789,-0.5242640983424037,0.9035078756912958
0xe6c1ededff7b3ed3bd590798b5949351b57fc0bde833713faf71bc23a84984ce,0,-0.033170972561228355,-1.4495041220981655,-0.18002562871358668,0.5825576549835423,0.1385755941634589,0.016524867807452197,0.22468800130264874,1.483576204759107,2.9856801091687157,0.511118004205593,0.3883850545230926,-0.13083603390805165,-0.47774253715487225,-0.24387965029906675,-0.019884180552221426,-0.29393954476607087,-0.0963418240792055,-0.153507575161553,0.05766616018721421,-0.5242640983424037,-0.4616350876103533
0x8cf134e9e22c23f5a0c5c9405e3db9e6d9ba76b7e2bf13cdd7576b13986a85be,0,-0.033172852131686664,0.689891104657567,0.25254643605443333,-0.18631420628182402,-0.2963937858934318,-0.09854498324186177,1.1267178080731253,-0.5421155595827649,-0.3349320635285418,0.511118004205593,-0.2763568601877976,-0.13083603390805165,-0.475476604190583,-0.24387965029906675,-0.019884180552221426,1.3454824919588146,-0.09625654532495265,-0.1326287052434603,-0.7099699525128006,0.7016990168295911,1.2455514088593145
0x8edb726d36d7ebeaa70d1ed93b5d28be977be6cf0343204a0e8503ef1613c520,0,-0.033172852131686664,0.689891104657567,-0.15747720224077044,0.3168913746772791,-0.14885083202658578,0.4711283185723862,-1.4463142969586298,0.8397359147649028,-0.3349320635285418,0.511118004205593,0.4186005961008603,-0.13083603390805165,-0.4776546283712248,-0.24387965029906675,-0.019884180552221426,-0.8649741867713681,-0.09632839533768972,-0.1727673442564212,0.48190310158181554,-0.5242640983424037,-0.4616350876103533
0x12aa096cc207298c46439c1d36c38cadb513326166ec3b720bab7de7f795730b,0,-0.033172851368467905,-1.4495041220981655,-0.1789858795142385,-0.6306704534913524,-0.6288544585483801,1.5400539842935874,-0.5442844901881534,-1.1859558495769698,2.9856801091687157,-1.956495352876982,-0.340564886040554,-0.13083603390805165,-0.47769522013198,-0.24387965029906675,-0.019884180552221426,-0.6439285188983498,-0.09634406215569032,-0.1727673442564212,1.0936319140164275,-0.5107324966296884,0.9035078756912958
0xe57c92bd7202979d5607255e88a730e7d5687ba5e700c394002b78070183db13,0,-0.033164448414776386,-1.4495041220981655,-0.15701678780454612,1.071074354683951,0.15784542710486238,0.6258211433807472,1.1267178080731253,-0.5421155595827649,-0.3349320635285418,0.511118004205593,1.5677354117303395,-0.13083603390805165,-0.4778619105578033,-0.24387965029906675,-0.019884180552221426,-0.8703919727486479,-0.09634406901777559,-0.1727673442564212,0.6396342352411789,-0.5242640983424037,-0.7717715747738927
0x301633ef5cc3ec16db664a4a1c0e68581f20e1ba310d4e5fed876a7eb36ab2b9,0,-0.03316704846544916,-1.4495041220981655,-0.20460340817266254,0.28876439502385587,0.09018839161232205,-0.2923619153618632,0.5829721447940642,-1.0479083034509924,-0.3349320635285418,0.511118004205593,-0.1252791522989589,-0.13083603390805165,-0.4778321272540539,-0.24387965029906675,-0.019884180552221426,-0.8703919727486479,-0.09634406901777559,-0.1727673442564212,0.6396342352411789,-0.5242640983424037,-1.0091599970472191
0x1def6d9697d3e9c4ed7dbe5692f45175f1f506f51ec7725f54c8b3fcb58f6aca,0,-0.033172852131686664,0.689891104657567,-0.04549001539717843,0.06761034988896343,-0.0898351968085574,-0.23338420602189813,-0.5442844901881534,-1.1859558495769698,-0.3349320635285418,0.511118004205593,-0.2763568601877976,-0.13083603390805165,0.6082931442945543,-0.24387965029906675,-0.019884180552221426,1.5947006469136882,0.17376023621202957,-0.1457055070132804,-0.35525225330616844,-0.2806952675135305,-0.8828080948694808
0x176a2dc09fcb4a8ee2330b5436dfab24d0ef76e805391cca53ad8e55395d0601,0,-0.033172852131686664,0.689891104657567,-0.20477011777336887,-0.5250887449868682,-0.1675330600581805,-1.278534712039234,0.8906377137450966,-0.8283063705127958,-0.3349320635285418,0.511118004205593,-0.2763568601877976,-0.13083603390805165,-0.47583088139244084,-0.24387965029906675,-0.019884180552221426,-0.8519715004258964,-0.09634406901777559,-0.1727673442564212,-1.2584560027012126,-0.5242640983424037,1.2455514088593145
