Method,AUC-ROC,Fraud Recall,Fraud Precision,Fraud F1
Baseline AE (Model 1),0.7352859583097557,0.3285509325681492,0.8006993006993007,0.4659206510681587
VAE,0.7757454657239472,0.3299856527977044,0.7516339869281046,0.45862412761714855
Isolation Forest,0.7020608060278538,0.7489239598278336,0.16046726098985553,0.2643037974683544
LOF,0.7351468085303445,0.9067431850789096,0.1805198514710083,0.30109575988565984
AE + Attention (Model 6),0.8419975204435504,0.42754662840746055,0.5398550724637681,0.4771817453963171
