methodId,proportion
0xa9059cbb,0.24243721696171264
0x,0.20713050638122685
0x3593564c,0.0662165500205846
0x22895118,0.03507616303005352
0x12aa3caf,0.03435158501440922
0x5f575529,0.034203375874845614
0x414bf389,0.027978592013174146
0xa94c7c65,0.02274186908192672
0x04e45aaf,0.020782214903252366
0x2e2d726c,0.018542610127624537
0x095ea7b3,0.018163853437628653
0x1a1da075,0.01147797447509263
0x68747470,0.011461506792918897
0x791ac947,0.010638122684232195
0xdfd1fb7a,0.010506381226842321
0xf5537ede,0.010308769040757513
0x60606040,0.01029230135858378
0xfa558b71,0.009897076986414162
0xb6f9de95,0.009699464800329353
0xa6bb62b5,0.009534787978592012
0xd9627aa4,0.008974886784685056
0xca350aa6,0.008596130094689172
0xd0e30db0,0.008167970358172088
0x2e1a7d4d,0.007838616714697407
0x339a5572,0.007641004528612598
0x6af479b2,0.007377521613832853
0xb61d27f6,0.007344586249485385
0x5ae401dc,0.007278715520790449
0xed48907e,0.006537669822972416
0x01,0.006208316179497735
0x7ff36ab5,0.0060107039934129275
0x803ba26d,0.0051049814738575545
0x3cd18ca0,0.004890901605599012
0xdb3e2198,0.004446274186908193
0xf7e375e8,0.003968711403869905
0x23b872dd,0.003771099217785097
0x24856bc3,0.003573487031700288
0xb858183f,0.003491148620831618
0x3598d8ab,0.003441745574310416
0x18cbafe5,0.003046521202140799
0x05eb5327,0.0030300535199670646
0x34fcd5be,0.0029312474269246602
0xdeadbeef,0.002503087690407575
0x38ed1739,0.002354878550843969
0xc81f847a,0.0022725401399752987
0x09b81346,0.002190201729106628
0x7b8b4b95,0.0021737340469328943
0x80c4d566,0.0018279127212844793
0x415565b0,0.001794977356937011
0x60fc8466,0.001712638946068341
0xb00606a5,0.0014656237134623301
0x1baaa00b,0.0011198023878139151
0xdac748d4,0.001053931659118979
0xac9650d8,0.0009880609304240427
0x594a88cc,0.0009880609304240427
0x60da0860,0.0009880609304240427
0xa578efaf,0.0009880609304240427
0xbaa2abde,0.0009057225195553725
0x5023b4df,0.0008398517908604363
0xda95ebf7,0.0008069164265129683
0x706394d5,0.0008069164265129683
0xc04b8d59,0.0007739810621655002
0x3dbe1c55,0.0007245780156442981
0x47f1de22,0.00069164265129683
0x7a1eb1b9,0.00069164265129683
0xfb3bdb41,0.0006422396047756279
0x0f3b31b2,0.0005928365582544257
0x5c11d795,0.0005763688760806917
0x496d6167,0.0005434335117332236
0xf35b4733,0.0005269658295594895
0x12599ac6,0.0005104981473857555
0x2e071dc6,0.0004446274186908193
0x77725df6,0.0004446274186908193
0x3d8d4082,0.00039522437216961713
0xabc5345e,0.00039522437216961713
0x636f6920,0.0003787566899958831
0xd0f42385,0.00036228900782214903
0x5d3e105c,0.0003128859613009469
0x96aa7368,0.00026348291477974473
0xe449022e,0.00023054755043227666
0x6a761202,0.00023054755043227666
0xfd404b4c,0.00023054755043227666
0x304e6ade,0.0002140798682585426
0x48656c6c,0.00019761218608480856
0x454e4d55,0.00014820913956360642
0x2cd2e930,0.00014820913956360642
0x8803dbee,0.00014820913956360642
0x3ccfd60b,0.00014820913956360642
0x4d657373,0.00014820913956360642
0xf305d719,0.00014820913956360642
0x64617461,0.00014820913956360642
0x48657920,0.00013174145738987237
0x454e4532,0.00013174145738987237
0x9baa45a8,0.00011527377521613833
0x4e71d92d,0.00011527377521613833
0xf83dd82a,0.00011527377521613833
0xe29aa0ef,9.880609304240428e-05
0x8af033fb,9.880609304240428e-05
0x1fff991f,9.880609304240428e-05
0x02751cec,9.880609304240428e-05
0x48692c20,9.880609304240428e-05
0x98a89897,9.880609304240428e-05
0x2a50917c,8.233841086867023e-05
0x2213bc0b,8.233841086867023e-05
0x49e58cbe,8.233841086867023e-05
0x596f7520,8.233841086867023e-05
0x454e4a4b,8.233841086867023e-05
0x5468616e,8.233841086867023e-05
0x3d61ed3e,6.587072869493618e-05
0x25052016,6.587072869493618e-05
0x454e5150,6.587072869493618e-05
0xe3ee160e,6.587072869493618e-05
0x454e414b,6.587072869493618e-05
0x6675636b,6.587072869493618e-05
0xdcfdc1e1,6.587072869493618e-05
0xe8e33700,6.587072869493618e-05
0xf3fef3a3,6.587072869493618e-05
0x473849bd,6.587072869493618e-05
0x594f5520,6.587072869493618e-05
0xc861a898,6.587072869493618e-05
0x4552524f,6.587072869493618e-05
0x29b82bb8,6.587072869493618e-05
0x42534320,4.940304652120214e-05
0x68692c20,4.940304652120214e-05
0x54686520,4.940304652120214e-05
0x1e83409a,4.940304652120214e-05
0xf09f9aa8,4.940304652120214e-05
0x33342e36,4.940304652120214e-05
0x416e6479,4.940304652120214e-05
0x1b258d50,4.940304652120214e-05
0x454e3739,4.940304652120214e-05
0xf2fde38b,4.940304652120214e-05
0x392d661c,4.940304652120214e-05
0x41726520,4.940304652120214e-05
0xe46dcfeb,4.940304652120214e-05
0x68656c6c,4.940304652120214e-05
0xd9df4739,4.940304652120214e-05
0x08072016,4.940304652120214e-05
0x2fbd3dbe,4.940304652120214e-05
0x5b0d5984,4.940304652120214e-05
0x42726561,4.940304652120214e-05
0xd505accf,4.940304652120214e-05
0xf252ad1b,4.940304652120214e-05
0x0962ef79,4.940304652120214e-05
0x00000000,4.940304652120214e-05
