from,sender_tx_count,sender_avg_value_eth,sender_error_rate,sender_avg_gas_eff,sender_unique_to
0x0000000000015b23c7e20b0ea5ebd84c39dcbe60,1,0.123456789,0.0,1.0,1
0x000001ac4e512d670c34fedf6c71ce2f49fb160a,1,0.0,0.0,0.5603786441739258,1
0x00002f528a2256dbb25cd57d0f1bc6dade192222,2,0.00050005,0.0,1.0,1
0x00003f0b7045822689ce3a6118846218a2c22cfd,1,0.1929414481564553,0.0,0.0349225,1
0x0000521ff68b2b193c05c4e3431969cb84aea719,1,0.0,0.0,0.530676923076923,1
0x00009ce3b313f9d74c93310c7ef850fab8b5380a,1,0.0,0.0,0.530676923076923,1
0x0000b81c6c9ac666804e00d638391691b9900000,2,0.0,0.0,0.6107667416242755,1
0x0003a62b246185267761aa7c574790bb18879aa2,1,2.07e-16,0.0,0.9090909090909091,1
0x000960bc7b1ae1313668ae8b936970ffe2404700,1,0.011,0.0,0.8054595808440895,1
0x000a99532e11ad7b06c26ceade3655ed64f68467,1,0.0,0.0,0.5603081289276303,1
0x000bf68755eaee7158571d17b94582734f5f54cc,2,0.0,0.0,0.6612940510031444,1
0x000e08765e5d0a074e48595c09c07e385554e0de,1,1e-08,0.0,1.0,1
0x00127c006d2db768881fcba998ccf312028e18be,1,0.0001,0.0,1.0,1
0x001606b5a2d7a3b0a3d0f1b51464bca0241e0d49,2,0.0,0.0,1.0,1
0x001e36c0bb2047b266d2596bac96648ef479d18c,1,0.0,0.0,0.8267390786203139,1
0x002103fd07ceacec15d9be8f84eba13d2c6bbdfd,1,0.0,0.0,0.7263596187332456,1
0x00236feeac26ef92552e3981096350d136084c64,2,0.0,0.0,0.6156419592519747,1
0x0028db75001237977e375d2ef2ea137183c78dec,1,5.1e-17,0.0,1.0,1
0x002afda47f560eaca494731328cfab18c073c45a,1,32.0,0.0,0.45874545454545457,1
0x002b95c5104b470be09ac458efee2f210d5d6c2b,1,0.0,0.0,0.9916512874593549,1
0x002beb9589971101656b2ca763c4de310d5d6c2b,1,0.0,0.0,0.40372,1
0x002ee33092457900515a4249e3ec1cd2b2dc8c32,1,0.0,0.0,0.7147319427356053,1
0x003189b0053ebd67dd3a8ccbe421dc2847fa9067,1,0.372156245702083,0.0,1.0,1
0x0032afd6b9bf61744461d04eaed435645873c8e0,1,17.5,0.0,0.6571114876960165,1
0x00350949717bb9ab5e6fdcf7207dd7b7a43f6a59,4,0.0,0.0,0.54502319832701,1
0x003df52ec13a0fcacdcafb632d2eeb30defe0c83,1,0.0,0.0,0.7294240758185878,1
0x003dfecfd35c800cb465083994a19a006616d8e1,1,32.0,0.0,0.4854727272727273,1
0x003e75aaebac01a1d26d2e68681ef66b1e1a41e8,6,0.0,1.0,0.33961208333333337,1
0x0042491e079973aa929b1fa8b0b83a91815f3981,1,0.10530845825080923,0.0,0.9036480686695278,1
0x0042a087aa9cca8aec986e8efd5bd95954130ff8,1,1e-15,0.0,0.7142857142857143,1
0x00443ef159433d7acd2734957f99f285db2dffdb,1,0.0,0.0,0.6536807236805969,1
0x004b10c1f49aaa0ecefaf5635ee06cacc4af5e33,1,1.96e-16,0.0,0.9091130209177882,1
0x0052445a3ca68d893ce99fbfcc68b8512ebfe94a,2,0.0,0.0,1.0,1
0x005668389b44e79e143eb71514b58e2453a4390e,1,32.0,0.0,0.45874545454545457,1
0x00567afed9340339f0a32297c42595a16ef55cc1,3,0.0,0.0,1.0,1
0x0056eb0452d94226278d54abe40606c67972ef74,1,0.0,0.0,0.7582828448228809,1
0x0057909ba4cad8f8308aceffa4829a0ff6f0beb6,1,3.04266873,0.0,1.0,1
0x005ac77cb611f8cc9b36e2aef1134044138cf7da,1,0.0,0.0,0.6726666666666666,1
0x005ede4353980ee9c9f7e5d4d3be1c8fe4616b02,1,0.0,0.0,0.8362618321375893,1
0x005efd444c66e39f975416e682877504f453ed3c,1,29.999376004078425,0.0,0.9036480686695278,1
0x00641ba3ffd9dd838ff2bee767fe295820be2d9d,1,0.009070828460827504,0.0,0.8239734526584944,1
0x0067cc2416f792cf0ec5629f5506324ac508f859,1,0.0,0.0,0.5374761904761904,1
0x006ded16054f3f506df8a8b46da8741762312ef5,3,0.00037,0.0,0.75,1
0x006f730660577d6c36fb43bf22b3ad3fbbda3429,1,0.0,0.0,0.132081,1
0x00702bc26f67c63ebf92e5af015e7131391edb19,3,0.0,0.0,0.6666666666666666,1
0x00751015e39dc2f7980f7e6218df9d85f20297c8,1,0.7524639181299606,0.0,0.42,1
0x0075ebad55b1a879c0ca2edadda1adfe4b9175b7,1,32.0,0.0,0.45874545454545457,1
0x0079f091ba1c4fb3379e728fcf19cec5f2a361a9,1,0.0,0.0,0.7345823054870325,1
0x0081d83e0fe72cede3699ab2e91e9b87aa8a645c,1,32.0,0.0,0.4856909090909091,1
0x0083a3c8abaf3022d0fafc134d54e8b2458fffc3,1,0.0494788638663279,0.0,0.7524951861360719,1
0x008407c7a44f507f18e330797946ce53a67ee95e,1,1e-08,0.0,1.0,1
0x008b7a5cf003d8f9c4ca89971fba401bf852de96,1,0.0,0.0,1.0,1
0x008bb7bc1fd64627015f8584d705d07e89944deb,1,0.000353605538877161,0.0,1.0,1
0x00996599bf502515420946994a53d1556e9b68a2,1,0.0,0.0,0.6536719439902312,1
0x00a2e9c95631915ba3e1fe4a841c26369b3a5676,1,0.0,0.0,0.5762285714285714,1
0x00a418fd00939ece907e27ccdb52a47964414831,1,0.0,0.0,0.991657885493502,1
0x00a72958f5bb5808e692a700f39a58cd457ce9ec,1,0.0,0.0,0.6132592623708308,1
0x00a8651b2f65f33c86cd3e0fdbf792f129ccf3ef,1,0.005322916843836,1.0,0.9290197234372614,1
0x00ab97c782c661fb3d08c96dce06176938101211,1,0.0,0.0,0.627678796816666,1
0x00b6c7f219cf34340fcf351e5496fcf512cc91ec,1,32.0,0.0,0.4856909090909091,1
0x00ba8c1ded613a59c8c078ab16bad3a6782fc31f,1,32.0,0.0,0.5128545454545455,1
0x00c07cf249de511955fb01107254c073e87ef0ae,2,0.0,0.0,1.0,1
0x00c644e774d7b1a3a95154113f86b9e25350a111,1,0.0,0.0,0.7753906770706902,1
0x00c794daef201123050038d65141c5bdbb96abbd,1,0.09651339092513195,0.0,0.731807124546091,1
0x00c95e060010e0bf341159fae9fbf3fa81d2bfa6,1,0.0,0.0,0.6760819982198487,1
0x00cd41b1190dc58043d562869849f1a6410025b7,1,5.10426614,0.0,1.0,1
0x00cf228855ce81f169b5a3522acd957c344c482d,1,0.0,0.0,0.6003329626647238,1
0x00d3e8d98bae35f4c52d2366f582bd3429dbb8ac,2,0.0,0.0,0.8333333333333334,1
0x00d7b35da1f94a25e5289477283a6c8093d2dc11,1,32.0,0.0,0.45874545454545457,1
0x00d93cd7c1f8d11b31be003a74a9dd7f4d15556d,1,0.0,0.0,0.5603537214443626,1
0x00db338ab181905291b60e004aa68b8dec0bd3e3,2,0.0029730946840123063,0.0,0.7506822860272859,1
0x00dd79d314c9ad5e944a46c55e37944fd382a79d,1,0.0,0.0,1.0,1
0x00df3f9af628cecdbbbc7775651e6a579763389e,2,0.0,0.0,0.7051016891795073,2
0x00df898f38005ec184564c910494edbc43d05f71,1,0.74,0.0,0.6934900280776912,1
0x00e1545abfb37214c1eb87f53dba0e88d4312e6e,1,0.0,0.0,1.0,1
0x00e69bc6a714f79f0154296b9d20f58eed3c54bc,1,0.0,0.0,0.7087542153479792,1
0x00e6b19b736304876e44b02839edac4cadefd152,1,6.9e-05,0.0,1.0,1
0x00ef6a4e42303e9b95bc7cacec00c1e2cc9526b5,1,0.000983201993933644,0.0,0.8246272354028357,1
0x00f45d91ca278a35d399c9339cc8f821a2fff4d9,1,0.0,0.0,0.7447088516315126,1
0x00f4cd1dba7b08817d9abf39a6758e4f7ebfb6ac,1,32.0,0.0,0.5399181818181819,1
0x00fd0a90e89c975bfa0626c7b68bc2d80f92326e,1,0.0,0.0,0.5645779613444994,1
0x00fe0b6ae71ffa2a7b348c08e55772ed71cbc76e,3,0.01,0.0,0.3451153333333334,1
0x010ad05b41b66a209245adc10d6182b137c9d5f6,1,0.0,0.0,0.4484444444444444,1
0x010ff1610091e4f6bcca5e41d427c36425fe77b7,1,0.0,0.0,0.779058593765197,1
0x0110b0b85886ff1b08716d1bcb51e019ca610507,1,0.0,0.0,0.6087340555425662,1
0x011453efb7ae94aa8ab8f1c52a3ea24da8370054,2,1.5e-05,0.0,1.0,1
0x01152d5c7467204bfa015061097b193cbcea8ca9,1,0.0,0.0,0.7527920692684151,1
0x01175884318297c4749ee763627207378d079a3c,3,0.0,0.3333333333333333,0.5664917934240234,1
0x0118227b782a2cd74866719901916fb913a11025,1,0.0,0.0,0.759790398824459,1
0x0119dbf88180b8caaa8b8e27e0ed380b0b64f09b,1,0.0,0.0,0.72966506451564,1
0x0119fbfa81452e0fc20a1f1bf0318958ae337139,1,0.000435126642657088,0.0,1.0,1
0x011b3146ac53d5743e21522d32b6c2861996f1ee,1,0.0,0.0,0.7573688906944858,1
0x011c3ee24ea259100dccabe3c1d5c1496f810c1e,1,0.0,0.0,0.142801,1
0x0120a1aa2fbac3dadca0dd8ce81378aeac3c5243,1,0.07667598063550277,0.0,1.0,1
0x012300c2e11cdeb92c969520102f33baf5c602c0,1,0.0,0.0,0.6216756131889317,1
0x01266a90febe3952d7d80033cf28693f82ae72c2,1,0.0,0.0,0.9916468829684341,1
0x01274b0def8b96bc4c39a06531af3ce996612f73,18,0.6722222222222222,0.0,0.6081115681700099,1
0x0129b9d6114ea779bf6a22a1d84c211aae695628,1,0.0,0.0,1.0,1
0x012a6c859d3d4e04e5d4e72fecd2ff69cb82afd5,1,2.0,0.0,1.0,1
0x0130396e889627bd3bf393aa01563113f7794ea0,1,32.0,0.0,0.5940363636363636,1
0x01358b633eb5cd284f16b4d25381c54133e39b44,1,0.0,0.0,0.6666666666666666,1
0x0136d72136d999ed072bc462a18fb343b89f21d5,1,0.0,0.0,0.6457292235925114,1
0x0139129c5462c7a8d0728bdbb2ada71b6adb443d,1,0.0,0.0,0.7731055007126643,1
0x01413d479ab5b392dff6e532f52b945f684832c0,2,0.0,0.0,1.0,1
0x0143bd780dab8a7302141c3fdb8ebade1fb56f92,1,0.0,0.0,0.8090223083965512,1
0x0143e9714f3c90259d50325f55f1f98405a2d6de,2,0.0,0.0,0.7272141708189745,1
0x0145867045a83df92913c1d46e8f4c75157da5fa,1,297.375518489624,0.0,1.0,1
0x0148007d964443127ff72c48762b2069718ce037,1,0.5201227005738284,0.0,0.7287870170921856,1
0x0148853d77db7b5c3c834ff48327704753f9472c,1,0.0,0.0,0.711043122999555,1
0x014c79481e442cab2aaa3a6f3f0b2bc9491f8d71,1,0.045768023568123296,0.0,0.7483843729360521,1
0x014cb33c99e92c1704db426055548a969bf62aa1,1,0.0,0.0,0.5890304967955736,1
0x014f24895188183dc1130492d041feb088c6cf80,1,0.0,0.0,0.5585316387236344,1
0x01510fbce4b5c110ca34158c293a953ef6180719,1,0.0,0.0,0.635523076923077,1
0x01519b214d07356e81f08e2754f28e039177f5b7,2,0.0015,0.0,0.7622095045723867,1
0x0152c814ad0efb17b6bc919c421f469fc7d0e524,7,0.00044650269656744667,0.0,0.1559932142857143,1
0x015956ea927d49d564743c8fd5e22f1b676c4015,2,0.0,0.0,0.6611037911523177,1
0x015b448bcf50e5dc34082905ca471c9f1640bab3,3,0.026119904964379333,0.0,0.8991776775879443,2
0x015de750a83538f3a9742cfe7509dc4663e3e67a,1,0.0,0.0,0.7644560601110748,1
0x01678f134fd5556f2dc588ab43c5691d33432133,2,0.00094426,0.0,1.0,2
0x0173b097f23a9074ba491be423c6f2b874436bd5,1,3.098940054686609,0.0,0.9036480686695278,1
0x0179824155c7c0f484fea10bf247ebb42818926b,1,0.0,0.0,0.8935677325770205,1
0x017a0576388c3042cfae819e7144829e51080400,2,0.0,0.0,0.9916534879634511,1
0x017ba120209458b9584eaa4ce1ddd09a3634dbf4,1,0.0,0.0,0.8404699378023497,1
0x018336e91bb40676f567cf0dae02231cc32321e7,1,0.9998912471856175,0.0,1.0,1
0x01930dc6d5d5ef8d02e02dc163c33c4a963752fb,6,0.0,0.0,0.7094220201215822,1
0x01941ea27e80fa2226fae65368e4553125019002,1,0.0,0.0,0.7133791888242357,1
0x01951fdd9581f7de3c54c548e4513d8bc66e6f62,2,0.127,0.0,0.6107036518358635,1
0x019947394428cd14f11facfe2b22c9421315887d,1,0.0,0.0,0.6060560497592739,1
